"Severity","ThreadID","Date","Time","Application","Message"
"Information","http-nio-8500-exec-3","12/12/24","20:32:30","","/opt/coldfusion/cfusion/logs/application.log initialized"
"Information","http-nio-8500-exec-3","12/12/24","20:32:30","","Session rotated successfully."
"Information","http-nio-8500-exec-3","12/12/24","20:32:30","CFADMIN","Invalid login for Default User"
"Information","http-nio-8500-exec-1","12/12/24","20:32:35","","Session rotated successfully."
"Information","http-nio-8500-exec-1","12/12/24","20:32:35","CFADMIN","Invalid login for Default User"
"Information","http-nio-8500-exec-8","12/12/24","20:32:47","","Session rotated successfully."
"Information","http-nio-8500-exec-8","12/12/24","20:53:11","","Session rotated successfully."
"Information","http-nio-8500-exec-5","12/12/24","20:55:54","","Session rotated successfully."
"Error","http-nio-8500-exec-10","12/12/24","21:17:23","","File not found: /.cfm The specific sequence of files included or processed is: /app/.cfm'' "
"Error","http-nio-8500-exec-6","12/12/24","21:45:35","","Variable MENUS is undefined. The specific sequence of files included or processed is: /app/index.cfm, line: 58 "
"Error","http-nio-8500-exec-10","12/12/24","21:45:40","","Variable MENUS is undefined. The specific sequence of files included or processed is: /app/index.cfm, line: 58 "
"Error","http-nio-8500-exec-8","12/12/24","21:46:21","","Variable MENUS is undefined. The specific sequence of files included or processed is: /app/index.cfm, line: 58 "
"Error","http-nio-8500-exec-1","12/12/24","21:46:22","","Variable MENUS is undefined. The specific sequence of files included or processed is: /app/index.cfm, line: 58 "
"Error","http-nio-8500-exec-3","12/12/24","21:46:39","","Variable MENUS is undefined. The specific sequence of files included or processed is: /app/index.cfm, line: 58 "
"Error","http-nio-8500-exec-7","12/12/24","21:47:38","","Variable MENUS is undefined. The specific sequence of files included or processed is: /app/index.cfm, line: 58 "
"Error","http-nio-8500-exec-4","12/12/24","21:48:37","","Variable MENUS is undefined. The specific sequence of files included or processed is: /app/index.cfm, line: 58 "
"Error","http-nio-8500-exec-9","12/12/24","21:49:32","","Variable MENUS is undefined. The specific sequence of files included or processed is: /app/index.cfm, line: 58 "
"Error","http-nio-8500-exec-6","12/12/24","21:49:36","","Variable MENUS is undefined. The specific sequence of files included or processed is: /app/index.cfm, line: 58 "
"Error","http-nio-8500-exec-5","12/12/24","21:50:36","","Variable MENUS is undefined. The specific sequence of files included or processed is: /app/index.cfm, line: 58 "
"Error","http-nio-8500-exec-8","12/12/24","21:51:28","","Could not find the included template controllers/MenuController.cfm.Note: If you wish to use an absolute template path (for example, template=""/mypath/index.cfm"") with CFINCLUDE, you must create a mapping for the path using the ColdFusion Administrator. Or, you can use per-application settings to specify mappings specific to this application by specifying a mappings struct to THIS.mappings in Application.cfc. <br> Using relative paths (for example, template=""index.cfm"" or template=""../index.cfm"") does not require the creation of any special mappings. It is therefore recommended  that you use relative paths with CFINCLUDE whenever possible. The specific sequence of files included or processed is: /app/index.cfm, line: 2 "
"Error","http-nio-8500-exec-1","12/12/24","21:51:35","","Could not find the included template controllers/MenuController.cfm.Note: If you wish to use an absolute template path (for example, template=""/mypath/index.cfm"") with CFINCLUDE, you must create a mapping for the path using the ColdFusion Administrator. Or, you can use per-application settings to specify mappings specific to this application by specifying a mappings struct to THIS.mappings in Application.cfc. <br> Using relative paths (for example, template=""index.cfm"" or template=""../index.cfm"") does not require the creation of any special mappings. It is therefore recommended  that you use relative paths with CFINCLUDE whenever possible. The specific sequence of files included or processed is: /app/index.cfm, line: 2 "
"Error","http-nio-8500-exec-3","12/12/24","21:52:33","","Datasource yourDatasource could not be found. The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
"Error","http-nio-8500-exec-7","12/12/24","21:52:34","","Datasource yourDatasource could not be found. The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
"Error","http-nio-8500-exec-9","12/12/24","21:53:33","","Datasource yourDatasource could not be found. The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
"Error","http-nio-8500-exec-6","12/12/24","21:54:34","","Datasource yourDatasource could not be found. The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
"Information","http-nio-8500-exec-8","12/12/24","21:55:10","","Session rotated successfully."
"Error","http-nio-8500-exec-5","12/12/24","21:55:27","","Error Executing Database Query.ERROR: syntax error at or near ""order""   Position: 103 The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
"Error","http-nio-8500-exec-3","12/12/24","21:55:34","","Error Executing Database Query.ERROR: syntax error at or near ""order""   Position: 103 The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
"Error","http-nio-8500-exec-1","12/13/24","16:47:59","","Error Executing Database Query.ERROR: syntax error at or near ""order""   Position: 103 The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
"Error","http-nio-8500-exec-7","12/13/24","16:48:29","","Error Executing Database Query.ERROR: syntax error at or near ""order""   Position: 103 The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
"Error","http-nio-8500-exec-10","12/13/24","16:48:37","","Error Executing Database Query.ERROR: syntax error at or near ""order""   Position: 103 The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
"Error","http-nio-8500-exec-2","12/13/24","16:49:37","","Error Executing Database Query.ERROR: syntax error at or near ""order""   Position: 103 The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
"Error","http-nio-8500-exec-1","12/13/24","16:50:37","","Error Executing Database Query.ERROR: syntax error at or near ""order""   Position: 103 The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
"Error","http-nio-8500-exec-4","12/13/24","16:51:37","","Error Executing Database Query.ERROR: syntax error at or near ""order""   Position: 103 The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
"Error","http-nio-8500-exec-3","12/13/24","16:52:37","","Error Executing Database Query.ERROR: syntax error at or near ""order""   Position: 103 The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
"Error","http-nio-8500-exec-5","12/13/24","16:53:37","","Error Executing Database Query.ERROR: syntax error at or near ""order""   Position: 103 The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
"Error","http-nio-8500-exec-6","12/13/24","16:54:37","","Error Executing Database Query.ERROR: syntax error at or near ""order""   Position: 103 The specific sequence of files included or processed is: /app/index.cfm, line: 5 "
