"Severity","ThreadID","Date","Time","Application","Message"
"Information","http-nio-8500-exec-8","12/12/24","20:32:47","","/opt/coldfusion/cfusion/logs/audit.log initialized"
"Information","http-nio-8500-exec-8","12/12/24","20:32:47","CFADMIN","User admin logged in."
"Information","http-nio-8500-exec-1","12/12/24","20:34:42","CFADMIN","User admin added datasource db."
"Information","http-nio-8500-exec-7","12/12/24","20:35:36","CFADMIN","User admin edited datasource db."
"Information","http-nio-8500-exec-3","12/12/24","20:36:04","CFADMIN","User admin edited datasource db."
"Information","http-nio-8500-exec-6","12/12/24","20:36:27","CFADMIN","User admin edited datasource db."
"Information","http-nio-8500-exec-6","12/12/24","20:38:34","CFADMIN","User admin edited datasource db."
"Information","http-nio-8500-exec-5","12/12/24","20:39:05","CFADMIN","User admin edited datasource db."
"Information","http-nio-8500-exec-3","12/12/24","20:39:19","CFADMIN","User admin edited datasource postgres."
"Information","http-nio-8500-exec-9","12/12/24","20:39:43","CFADMIN","User admin edited datasource postgres."
"Information","http-nio-8500-exec-8","12/12/24","20:53:11","CFADMIN","User admin logged in."
"Information","http-nio-8500-exec-3","12/12/24","20:53:29","CFADMIN","User admin edited datasource postgres."
"Information","http-nio-8500-exec-10","12/12/24","20:53:42","CFADMIN","User admin edited datasource postgres."
"Information","http-nio-8500-exec-5","12/12/24","20:54:24","CFADMIN","User admin edited datasource postgres."
"Information","http-nio-8500-exec-5","12/12/24","20:55:54","CFADMIN","User admin logged in."
"Information","http-nio-8500-exec-2","12/12/24","20:56:14","CFADMIN","User admin edited datasource postgres."
"Information","http-nio-8500-exec-3","12/12/24","20:59:43","CFADMIN","User admin edited datasource jdbc:postgresql://db:5432/coldfusion_db."
"Information","http-nio-8500-exec-10","12/12/24","21:00:22","CFADMIN","User admin edited datasource jdbc:postgresql://db:5432/postgres."
"Information","http-nio-8500-exec-2","12/12/24","21:00:53","CFADMIN","User admin edited datasource postgres."
"Information","http-nio-8500-exec-5","12/12/24","21:01:30","CFADMIN","User admin edited datasource postgres."
"Information","http-nio-8500-exec-3","12/12/24","21:02:22","CFADMIN","User admin edited datasource postgres."
"Information","http-nio-8500-exec-5","12/12/24","21:02:54","CFADMIN","User admin edited datasource postgres."
"Information","http-nio-8500-exec-3","12/12/24","21:03:37","CFADMIN","User admin edited datasource postgres."
