"Severity","ThreadID","Date","Time","Application","Message"
"Information","main","12/12/24","20:28:56","","/opt/coldfusion/cfusion/logs/scheduler.log initialized"
"Information","main","12/12/24","20:28:56","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/12/24","20:52:21","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/12/24","20:55:29","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/13/24","16:47:49","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/13/24","18:27:28","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/13/24","18:28:59","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/13/24","18:33:17","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/13/24","20:16:28","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/13/24","20:58:19","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/16/24","13:04:52","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/16/24","14:45:16","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/16/24","16:14:46","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/16/24","16:21:13","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/16/24","20:32:39","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/17/24","13:45:09","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
"Information","main","12/18/24","12:35:28","","Created scheduler DefaultQuartzScheduler with thread pool size as 10"
